text,true_emotion,predicted_emotion
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,anger
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness
@MichiganBromo Good optimism sir :),joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,joy
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,joy
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,sadness,joy
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,sadness,joy
Might go on @RadioX tomorrow to hopefully win a new car. My current one stinks of gone off milk. #grim,sadness,joy
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,anger
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,anger
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,sadness,sadness
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor",sadness,joy
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
My life went from happy to unhappy..,sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
